SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult,,CWE-190_FreeRDP_CVE-2024-22211.txt,CWE-190_FreeRDP_CVE-2024-22211.txt_result.txt,CWE190,2,2,0.0328,FALSE,,,¼ò»¯±ÈÂÊ,CWE190,CWE190,CWE119-1,CWE119
CWE-119_openssl_CVE-2014-8176.txt,CWE-119_openssl_CVE-2014-8176.txt_result.txt,CWE119,8,2,0.95,FALSE,,,,,,,,,,,,,,,
CWE-119_openssl_CVE-2015-0206.txt,CWE-119_openssl_CVE-2015-0206.txt_result.txt,CWE119,10,7,1,FALSE,,,,,,,,,,,,,,,
CWE-119_openssl_CVE-2015-1789.txt,CWE-119_openssl_CVE-2015-1789.txt_result.txt,CWE119,58,1,1,FALSE,,,,,,,,,,,,,,,
CWE-119_php-src_CVE-2016-9933.txt,CWE-119_php-src_CVE-2016-9933.txt_result.txt,CWE119,82,14,1,FALSE,,,,,,,,,,,,,,,
CWE-119_pycrypto_CVE-2013-7459.txt,CWE-119_pycrypto_CVE-2013-7459.txt_result.txt,CWE119,42,7,1,FALSE,,,,,,,,,,,,,,,
CWE-119_radare2_CVE-2017-15385.txt,CWE-119_radare2_CVE-2017-15385.txt_result.txt,CWE119,97,0,,TRUE,,,,,,,,,,,,,,,
CWE-119_radare2_CVE-2017-6448.txt,CWE-119_radare2_CVE-2017-6448.txt_result.txt,CWE119,16,0,,TRUE,,,,,,,,,,,,,,,
CWE-119_radare2_CVE-2017-9763.txt,CWE-119_radare2_CVE-2017-9763.txt_result.txt,CWE119,77,0,,TRUE,,,,,,,,,,,,,,,
CWE-119_radare2_CVE-2022-0522.txt,CWE-119_radare2_CVE-2022-0522.txt_result.txt,CWE119,62,4,,FALSE,,,,,,,,,,,,,,,
CWE-119_shadow_CVE-2017-12424.txt,CWE-119_shadow_CVE-2017-12424.txt_result.txt,CWE119,8,2,,FALSE,,,,,,,,,,,,,,,
CWE-119_squidclamav_CVE-2012-3501.txt,CWE-119_squidclamav_CVE-2012-3501.txt_result.txt,CWE119,35,4,,FALSE,,,,,,,,,,,,,,,
CWE-119_tcpdump_CVE-2014-9140.txt,CWE-119_tcpdump_CVE-2014-9140.txt_result.txt,CWE119,29,3,,FALSE,,,,,,,,,,,,,,,
CWE-119_texlive-source_CVE-2018-17407.txt,CWE-119_texlive-source_CVE-2018-17407.txt_result.txt,CWE119,14,8,,FALSE,,,,,,,,,,,,,,,
CWE-119_tinc_CVE-2013-1428.txt,CWE-119_tinc_CVE-2013-1428.txt_result.txt,CWE119,8,2,,FALSE,,,,,,,,,,,,,,,
CWE-119_torque_CVE-2014-0749.txt,CWE-119_torque_CVE-2014-0749.txt_result.txt,CWE119,25,11,,FALSE,,,,,,,,,,,,,,,
CWE-119_visit_repo_url_CVE-2014-9709.txt,CWE-119_visit_repo_url_CVE-2014-9709.txt_result.txt,CWE119,37,0,,TRUE,,,,,,,,,,,,,,,
CWE-119_visit_repo_url_CVE-2017-5336.txt,CWE-119_visit_repo_url_CVE-2017-5336.txt_result.txt,CWE119,17,0,,TRUE,,,,,,,,,,,,,,,
CWE-119_visit_repo_url_CVE-2018-14362.txt,CWE-119_visit_repo_url_CVE-2018-14362.txt_result.txt,CWE119,12,6,,FALSE,,,,,,,,,,,,,,,
CWE-119_wildmidi_CVE-2017-1000418.txt,CWE-119_wildmidi_CVE-2017-1000418.txt_result.txt,CWE119,25,3,,FALSE,,,,,,,,,,,,,,,
