SourceFile,ResultFile,CWE,SourceLines,ResultLines,CompressionRatio,IsEmptyResult
CWE-787_linux_CVE-2022-47942.txt,CWE-787_linux_CVE-2022-47942.txt_result.txt,CWE787,17,1,0.0588,False
CWE-787_linux_CVE-2023-31436.txt,CWE-787_linux_CVE-2023-31436.txt_result.txt,CWE787,69,10,0.1449,False
CWE-787_mruby_CVE-2022-1286.txt,CWE-787_mruby_CVE-2022-1286.txt_result.txt,CWE787,5,1,0.2,False
CWE-787_neomutt_CVE-2018-14360.txt,CWE-787_neomutt_CVE-2018-14360.txt_result.txt,CWE787,30,4,0.1333,False
CWE-787_ngiflib_CVE-2019-16346.txt,CWE-787_ngiflib_CVE-2019-16346.txt_result.txt,CWE787,4,4,1.0,False
CWE-787_njs_CVE-2022-29379.txt,CWE-787_njs_CVE-2022-29379.txt_result.txt,CWE787,2,1,0.5,False
CWE-787_oniguruma_CVE-2017-9225.txt,CWE-787_oniguruma_CVE-2017-9225.txt_result.txt,CWE787,9,0,,True
CWE-787_open5gs_CVE-2021-44109.txt,CWE-787_open5gs_CVE-2021-44109.txt_result.txt,CWE787,44,15,0.3409,False
CWE-787_open62541_CVE-2020-36429.txt,CWE-787_open62541_CVE-2020-36429.txt_result.txt,CWE787,6,2,0.3333,False
CWE-787_openjpeg_CVE-2017-14040.txt,CWE-787_openjpeg_CVE-2017-14040.txt_result.txt,CWE787,6,0,,True
CWE-787_optee_os_CVE-2019-1010292.txt,CWE-787_optee_os_CVE-2019-1010292.txt_result.txt,CWE787,35,5,0.1429,False
CWE-787_pdfresurrect_CVE-2019-14934.txt,CWE-787_pdfresurrect_CVE-2019-14934.txt_result.txt,CWE787,1,1,1.0,False
CWE-787_rabbitmq-c_CVE-2019-18609.txt,CWE-787_rabbitmq-c_CVE-2019-18609.txt_result.txt,CWE787,10,6,0.6,False
CWE-787_radare2_CVE-2018-20455.txt,CWE-787_radare2_CVE-2018-20455.txt_result.txt,CWE787,20,11,0.55,False
CWE-787_radare2_CVE-2018-20460.txt,CWE-787_radare2_CVE-2018-20460.txt_result.txt,CWE787,11,0,,True
CWE-787_radare2_CVE-2022-0676.txt,CWE-787_radare2_CVE-2022-0676.txt_result.txt,CWE787,10,0,,True
CWE-787_radare2_CVE-2022-1052.txt,CWE-787_radare2_CVE-2022-1052.txt_result.txt,CWE787,20,0,,True
CWE-787_radare2_CVE-2022-28068.txt,CWE-787_radare2_CVE-2022-28068.txt_result.txt,CWE787,47,0,,True
CWE-787_radare2_CVE-2023-4322.txt,CWE-787_radare2_CVE-2023-4322.txt_result.txt,CWE787,8,0,,True
CWE-787_radare2_CVE-2023-47016.txt,CWE-787_radare2_CVE-2023-47016.txt_result.txt,CWE787,25,0,,True
CWE-787_radare2_CVE-2023-5686.txt,CWE-787_radare2_CVE-2023-5686.txt_result.txt,CWE787,11,3,0.2727,False
CWE-787_rdesktop_CVE-2018-8800.txt,CWE-787_rdesktop_CVE-2018-8800.txt_result.txt,CWE787,19,1,0.0526,False
CWE-787_tnef_CVE-2017-6309.txt,CWE-787_tnef_CVE-2017-6309.txt_result.txt,CWE787,19,10,0.5263,False
CWE-787_uftpd_CVE-2020-20276.txt,CWE-787_uftpd_CVE-2020-20276.txt_result.txt,CWE787,25,3,0.12,False
CWE-787_vim_CVE-2022-0318.txt,CWE-787_vim_CVE-2022-0318.txt_result.txt,CWE787,58,4,0.069,False
CWE-787_vim_CVE-2022-1785.txt,CWE-787_vim_CVE-2022-1785.txt_result.txt,CWE787,119,0,,True
CWE-787_vim_CVE-2022-1897.txt,CWE-787_vim_CVE-2022-1897.txt_result.txt,CWE787,12,0,,True
CWE-787_vim_CVE-2023-4738.txt,CWE-787_vim_CVE-2023-4738.txt_result.txt,CWE787,12,0,,True
CWE-787_visit_repo_url_CVE-2018-14350.txt,CWE-787_visit_repo_url_CVE-2018-14350.txt_result.txt,CWE787,56,8,0.1429,False
CWE-787_zlib_CVE-2018-25032.txt,CWE-787_zlib_CVE-2018-25032.txt_result.txt,CWE787,5,0,,True
CWE-89_MapServer_CVE-2013-7262.txt,CWE-89_MapServer_CVE-2013-7262.txt_result.txt,CWE89,43,5,0.1163,False
